"ID";"Logotipo";"Nombre";"Direcciones";"Productos";"Activado";
"286";"";"SALENTEIN";"";"";"0";
"205";"";"SAN MIGUEL";"";"";"0";
"328";"";"SAN PATRICIO";"";"";"0";
"65";"";"San Telmo";"";"";"0";
"76";"";"Sandeman";"";"";"0";
"199";"";"SANTA EMILIANA";"";"";"0";
"306";"";"SANTA LUCIA";"";"";"0";
"81";"";"Santa Rita";"";"";"0";
"89";"";"Santa Teresa";"";"";"0";
"363";"";"SEAGRAMS";"";"";"0";
"265";"";"SHARK";"";"";"0";
"102";"";"Sirov Vodka";"";"";"0";
"43";"";"SKYY";"";"";"1";
"11";"";"Smirnoff";"";"";"0";
"233";"";"SMYDERS";"";"";"0";
"181";"";"SNAPPLE";"";"";"0";
"353";"";"SNICKERS";"";"";"0";
"340";"";"SOL";"";"";"0";
"86";"";"Something Special";"";"";"0";
"204";"";"SOUR MIX";"";"";"0";
"219";"";"SPERONE";"";"";"0";
"323";"";"SPLASH";"";"";"0";
"165";"";"SPRITE";"";"";"0";
"172";"";"ST REMY";"";"";"0";
"364";"";"STELLA ARTOIS";"";"";"0";
"80";"";"STOLICHNAYA";"";"";"0";
"298";"";"SUCCESSO";"";"";"0";
"351";"";"SUPER COLA";"";"";"0";
"272";"";"SVIP BOLLA";"";"";"0";
"356";"";"TABERNA";"";"";"0";
"247";"";"TACAMA";"";"";"0";
"370";"";"TANQUERAY";"";"";"0";
"56";"";"Tempus";"";"";"0";
"236";"";"TERRAFERTIL";"";"";"0";
"285";"";"TERRAZAS DE LOS ANDE";"";"";"0";
"59";"";"Terrazas de los Andes";"";"";"0";
"231";"";"TERRUNYO";"";"";"0";
"343";"";"TH2ONIC";"";"";"0";
"70";"";"The Little Penguin";"";"";"0";
"327";"";"TMK";"";"";"0";
"239";"";"TOBLERONE";"";"";"0";
"182";"";"TOCORNAL";"";"";"0";
"82";"";"Torres";"";"";"0";
"213";"";"TORRES CORONA";"";"";"0";
"97";"";"Touch";"";"";"0";
